bibid	itemid	inbibtable	initemtable	suppressed	itype	branch_or_research	is_mixed_bib	leader	oh08	source	pub_year	catalogdate	bib_location	biblevel	mattype	standard_nums	isbn	issn	lccn	oclc	other_standard	callnum	lccall	callnum2	ddc	v852a	langcode	lang	countrycode	country	publisher	nypltype	description1	otherdetails	dimensions	description2	description3	norm_author	norm_title	author	title	num_copies_from_bib	topical_terms	gen_subdiv_term	form_subdiv_term	index_term	geo_terms	hasmultbibids	item_location_code	item_location_str	barcode	item_callnum	created_date	status	total_checkouts	total_renewals	total_circ	fy17_checkouts	fy18_checkouts	fy19_checkouts	fy20_checkouts	fy21_checkouts	fy22_checkouts	fy23_checkouts	fy24_checkouts	fy25_checkouts	fy26_checkouts	bib_fy17_checkouts	bib_fy18_checkouts	bib_fy19_checkouts	bib_fy20_checkouts	bib_fy21_checkouts	bib_fy22_checkouts	bib_fy23_checkouts	bib_fy24_checkouts	bib_fy25_checkouts	bib_fy26_checkouts	bib_total_checkouts	bib_total_renewals	bib_total_circ	dewey_class	dewey_division	dewey_section	lc_subject_class	lc_subject_subclass
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request in Advance	33433002032922	*OFXA 72-448	2009-02-03 00:57:40	AVAILABLE	2	0	2											16	16	17	1	34	17	22	15	7	0	232	0	232					
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request in Advance	33433002032922	*OFXA 72-448	2009-02-03 00:57:40	AVAILABLE	2	0	2											16	16	17	1	34	17	22	15	7	0	232	0	232					
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request in Advance	33433002032922	*OFXA 72-448	2009-02-03 00:57:40	AVAILABLE	2	0	2											16	16	17	1	34	17	22	15	7	0	232	0	232					
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request in Advance	33433002032922	*OFXA 72-448	2009-02-03 00:57:40	AVAILABLE	2	0	2											16	16	17	1	34	17	22	15	7	0	232	0	232					
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request In Advance - nypl	33433002032922	*OFXA 72-448		AVAILABLE														16	16	17	1	34	17	22	15	7	0	232	0	232					
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request In Advance - nypl	33433002032922	*OFXA 72-448		AVAILABLE														16	16	17	1	34	17	22	15	7	0	232	0	232					
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request In Advance - nypl	33433002032922	*OFXA 72-448		AVAILABLE														16	16	17	1	34	17	22	15	7	0	232	0	232					
10067022	10017576	true	true	f	3	research	false	00000cas  2200229   4500	720807|        gw u| |||     0    |ger| cas   	sierra-nypl		1999-07-13	mal  	SERIAL	BOOK/TEXT				76576645			*OFXA 72-448					ger	German	gw 	Germany	Verlag Butzon & Bercker.	bib		illus.	31 cm.				ugarit forschungen		Ugarit-Forschungen.		Ugaritic philology.					false	rc2ma	OFFSITE - Request In Advance - nypl	33433002032922	*OFXA 72-448		AVAILABLE														16	16	17	1	34	17	22	15	7	0	232	0	232					
